Car_ID,Symboling,Car_Name,aspiration,Number of Doors,Car_Body,Drive_Wheel,Engine_Location,Wheel_Base,Car_Length,Car_Width,Car_Height,Curb_Weight,Engine_Type,Cylinder_Number,Engine_Size,Fuel_System,Bore_Ratio,Stroke,Compression_Ratio,Horsepower,Peak_RPM,City_Mileage,Highway_L/100km,Price,Horsepower_Binned,Engine_Size_Binned,City_L/100km_Binned,Fuel_Type(diesel),Fuel_Type(gas)
28,1,dodge coronet custom,turbo,two,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,9.800416666666667,7.840333333333334,8558.0,Low,Small,Medium,0,1
29,-1,dodge dart custom,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,9.800416666666667,7.840333333333334,8921.0,Low,Small,Medium,0,1
30,3,dodge coronet custom (sw),turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,four,156,mfi,3.6,3.9,7.0,145,5000,12.379473684210527,9.800416666666667,12964.0,Medium,Medium,Medium,0,1
31,2,honda civic,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,4.800204081632653,4.355740740740741,6479.0,Low,Small,Low,0,1
32,2,honda civic cvcc,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.58741935483871,6.189736842105264,6855.0,Low,Small,Low,0,1
33,1,honda civic,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,6.189736842105264,5.600238095238096,5399.0,Low,Small,Low,0,1
34,1,honda accord cvcc,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.840333333333334,6.917941176470588,6529.0,Low,Small,Low,0,1
35,1,honda civic cvcc,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.840333333333334,6.917941176470588,7129.0,Low,Small,Low,0,1
36,0,honda accord lx,std,four,sedan,fwd,front,96.5,163.4,64.0,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.840333333333334,6.917941176470588,7295.0,Low,Small,Low,0,1
37,0,honda civic 1500 gl,std,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,7.840333333333334,6.917941176470588,7295.0,Low,Small,Low,0,1
38,0,honda accord,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,8.711481481481481,7.127575757575758,7895.0,Low,Small,Low,0,1
39,0,honda civic 1300,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,8.711481481481481,7.127575757575758,9095.0,Low,Small,Low,0,1
40,0,honda prelude,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,8.711481481481481,7.127575757575758,8845.0,Low,Small,Low,0,1
41,0,honda accord,std,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,8.711481481481481,7.127575757575758,10295.0,Low,Small,Low,0,1
42,0,honda civic,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800,9.800416666666667,8.400357142857143,12945.0,Low,Small,Medium,0,1
43,1,honda civic (auto),std,two,sedan,fwd,front,96.5,169.1,66.0,51.0,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,9.4084,7.58741935483871,10345.0,Low,Small,Medium,0,1
44,0,isuzu MU-X,std,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,9.800416666666667,8.110689655172415,6785.0,Low,Small,Medium,0,1
45,1,isuzu D-Max ,std,two,sedan,fwd,front,94.5,155.9,63.6,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,6.189736842105264,5.47,8916.5,Low,Small,Low,0,1
46,0,isuzu D-Max V-Cross,std,four,sedan,fwd,front,94.5,155.9,63.6,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,6.189736842105264,5.47,8916.5,Low,Small,Low,0,1
47,2,isuzu D-Max ,std,two,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000,9.800416666666667,8.110689655172415,11048.0,Low,Small,Medium,0,1
48,0,jaguar xj,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15.680666666666667,12.379473684210527,32250.0,Medium,Large,High,0,1
49,0,jaguar xf,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15.680666666666667,12.379473684210527,35550.0,Medium,Large,High,0,1
50,0,jaguar xk,std,two,sedan,rwd,front,102.0,191.7,70.6,47.8,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000,18.093076923076925,13.835882352941177,36000.0,High,Large,High,0,1
51,1,maxda rx3,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,7.840333333333334,7.58741935483871,5195.0,Low,Small,Low,0,1
52,1,maxda glc deluxe,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,7.58741935483871,6.189736842105264,6095.0,Low,Small,Low,0,1
53,1,mazda rx2 coupe,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,7.58741935483871,6.189736842105264,6795.0,Low,Small,Low,0,1
54,1,mazda rx-4,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,7.58741935483871,6.189736842105264,6695.0,Low,Small,Low,0,1
55,1,mazda glc deluxe,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000,7.58741935483871,6.189736842105264,7395.0,Low,Small,Low,0,1
56,3,mazda 626,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,rotor,two,70,4bbl,3.33,3.255,9.4,101,6000,13.835882352941177,10.226521739130435,10945.0,Low,Small,High,0,1
57,3,mazda glc,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,rotor,two,70,4bbl,3.33,3.255,9.4,101,6000,13.835882352941177,10.226521739130435,11845.0,Low,Small,High,0,1
58,3,mazda rx-7 gs,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385,rotor,two,70,4bbl,3.33,3.255,9.4,101,6000,13.835882352941177,10.226521739130435,13645.0,Low,Small,High,0,1
59,3,mazda glc 4,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500,rotor,two,80,mpfi,3.33,3.255,9.4,135,6000,14.700625,10.226521739130435,15645.0,Medium,Small,High,0,1
60,1,mazda 626,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.046538461538463,7.3503125,8845.0,Low,Small,Low,0,1
61,0,mazda glc custom l,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.046538461538463,7.3503125,8495.0,Low,Small,Low,0,1
62,1,mazda glc custom,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.046538461538463,7.3503125,10595.0,Low,Small,Low,0,1
63,0,mazda rx-4,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.046538461538463,7.3503125,10245.0,Low,Small,Low,0,1
64,0,mazda glc deluxe,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650,6.533611111111111,5.600238095238096,10795.0,Low,Small,Low,1,0
65,0,mazda 626,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.046538461538463,7.3503125,11245.0,Low,Small,Low,0,1
66,0,mazda glc,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120,5000,12.379473684210527,8.711481481481481,18280.0,Low,Small,Medium,0,1
67,0,mazda rx-7 gs,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2700,ohc,four,134,idi,3.43,3.64,22.0,72,4200,7.58741935483871,6.031025641025641,18344.0,Low,Small,Low,1,0
68,-1,buick electra 225 custom,turbo,four,sedan,rwd,front,110.0,190.9,70.3,56.5,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.691363636363636,9.4084,25552.0,Low,Medium,Medium,1,0
69,-1,buick century luxus (sw),turbo,four,wagon,rwd,front,110.0,190.9,70.3,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.691363636363636,9.4084,28248.0,Low,Medium,Medium,1,0
70,0,buick century,turbo,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.691363636363636,9.4084,28176.0,Low,Medium,Medium,1,0
71,-1,buick skyhawk,turbo,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.691363636363636,9.4084,31600.0,Low,Medium,Medium,1,0
72,-1,buick opel isuzu deluxe,std,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,14.700625,13.067222222222222,34184.0,Medium,Medium,High,0,1
73,3,buick skylark,std,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,14.700625,13.067222222222222,35056.0,Medium,Medium,High,0,1
74,0,buick century special,std,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184,4500,16.800714285714285,14.700625,40960.0,Medium,Large,High,0,1
75,1,buick regal sport coupe (turbo),std,two,hardtop,rwd,front,112.0,199.2,72.0,55.4,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184,4500,16.800714285714285,14.700625,45400.0,Medium,Large,High,0,1
76,1,mercury cougar,turbo,two,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175,5000,12.379473684210527,9.800416666666667,16503.0,Medium,Small,Medium,0,1
77,2,mitsubishi mirage,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,6.357027027027027,5.736829268292683,5389.0,Low,Small,Low,0,1
78,2,mitsubishi lancer,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,7.58741935483871,6.189736842105264,6189.0,Low,Small,Low,0,1
79,2,mitsubishi outlander,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,7.58741935483871,6.189736842105264,6669.0,Low,Small,Low,0,1
80,1,mitsubishi g4,turbo,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,9.800416666666667,7.840333333333334,7689.0,Low,Small,Medium,0,1
81,3,mitsubishi mirage g4,turbo,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,10.226521739130435,7.840333333333334,9959.0,Low,Small,Medium,0,1
82,3,mitsubishi g4,std,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,9.4084,7.3503125,8499.0,Low,Small,Medium,0,1
83,3,mitsubishi outlander,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,ohc,four,156,spdi,3.58,3.86,7.0,145,5000,12.379473684210527,9.800416666666667,12629.0,Medium,Medium,Medium,0,1
84,3,mitsubishi g4,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,ohc,four,156,spdi,3.59,3.86,7.0,145,5000,12.379473684210527,9.800416666666667,14869.0,Medium,Medium,Medium,0,1
85,3,mitsubishi mirage g4,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,ohc,four,156,spdi,3.59,3.86,7.0,145,5000,12.379473684210527,9.800416666666667,14489.0,Medium,Medium,Medium,0,1
86,1,mitsubishi montero,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,9.4084,7.3503125,6989.0,Low,Small,Medium,0,1
87,1,mitsubishi pajero,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,9.4084,7.3503125,8189.0,Low,Small,Medium,0,1
88,1,mitsubishi outlander,turbo,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,10.226521739130435,7.840333333333334,9279.0,Low,Small,Medium,0,1
89,-1,mitsubishi mirage g4,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,10.226521739130435,7.840333333333334,9279.0,Low,Small,Medium,0,1
90,1,Nissan versa,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.58741935483871,6.357027027027027,5499.0,Low,Small,Low,0,1
91,1,nissan gt-r,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,5.226888888888889,4.7042,7099.0,Low,Small,Low,1,0
92,1,nissan rogue,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.58741935483871,6.357027027027027,6649.0,Low,Small,Low,0,1
93,1,nissan latio,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.58741935483871,6.357027027027027,6849.0,Low,Small,Low,0,1
94,1,nissan titan,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.58741935483871,6.357027027027027,7349.0,Low,Small,Low,0,1
95,1,nissan leaf,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.58741935483871,6.357027027027027,7299.0,Low,Small,Low,0,1
96,1,nissan juke,std,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.58741935483871,6.357027027027027,7799.0,Low,Small,Low,0,1
97,1,nissan latio,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.58741935483871,6.357027027027027,7499.0,Low,Small,Low,0,1
98,1,nissan note,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.58741935483871,6.357027027027027,7999.0,Low,Small,Low,0,1
99,2,nissan clipper,std,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.58741935483871,6.357027027027027,8249.0,Low,Small,Low,0,1
100,0,nissan rogue,std,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,8.711481481481481,6.917941176470588,8949.0,Low,Small,Low,0,1
101,0,nissan nv200,std,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,8.711481481481481,6.917941176470588,9549.0,Low,Small,Low,0,1
102,0,nissan dayz,std,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,13.835882352941177,10.691363636363636,13499.0,Medium,Medium,High,0,1
103,0,nissan fuga,std,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,13.835882352941177,10.691363636363636,14399.0,Medium,Medium,High,0,1
104,0,nissan otti,std,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,12.379473684210527,9.4084,13499.0,Medium,Medium,Medium,0,1
105,3,nissan teana,std,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200,12.379473684210527,9.4084,17199.0,Medium,Medium,Medium,0,1
106,3,nissan kicks,turbo,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200,13.835882352941177,10.226521739130435,19699.0,Medium,Medium,High,0,1
107,1,nissan clipper,std,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200,12.379473684210527,9.4084,18399.0,Medium,Medium,Medium,0,1
108,0,peugeot 504,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000,12.379473684210527,9.800416666666667,11900.0,Low,Small,Medium,0,1
109,0,peugeot 304,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,l,four,152,idi,3.7,3.52,21.0,95,4150,8.400357142857143,7.127575757575758,13200.0,Low,Medium,Low,1,0
110,0,peugeot 504 (sw),std,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000,12.379473684210527,9.800416666666667,12440.0,Low,Small,Medium,0,1
111,0,peugeot 504,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,l,four,152,idi,3.7,3.52,21.0,95,4150,9.4084,9.4084,13860.0,Low,Medium,Medium,1,0
112,0,peugeot 504,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000,12.379473684210527,9.800416666666667,15580.0,Low,Small,Medium,0,1
113,0,peugeot 604sl,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,3.7,3.52,21.0,95,4150,8.400357142857143,7.127575757575758,16900.0,Low,Medium,Low,1,0
114,0,peugeot 504,std,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,l,four,120,mpfi,3.46,2.19,8.4,95,5000,12.379473684210527,9.800416666666667,16695.0,Low,Small,Medium,0,1
115,0,peugeot 505s turbo diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,l,four,152,idi,3.7,3.52,21.0,95,4150,9.4084,9.4084,17075.0,Low,Medium,Medium,1,0
116,0,peugeot 504,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000,12.379473684210527,9.800416666666667,16630.0,Low,Small,Medium,0,1
117,0,peugeot 504,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,3.7,3.52,21.0,95,4150,8.400357142857143,7.127575757575758,17950.0,Low,Medium,Low,1,0
118,0,peugeot 604sl,turbo,four,sedan,rwd,front,108.0,186.7,68.3,56.0,3130,l,four,134,mpfi,3.61,3.21,7.0,142,5600,13.067222222222222,9.800416666666667,18150.0,Medium,Small,Medium,0,1
119,1,plymouth fury iii,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,6.357027027027027,5.736829268292683,5572.0,Low,Small,Low,0,1
120,1,plymouth cricket,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,9.800416666666667,7.840333333333334,7957.0,Low,Small,Medium,0,1
121,1,plymouth fury iii,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.58741935483871,6.189736842105264,6229.0,Low,Small,Low,0,1
122,1,plymouth satellite custom (sw),std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.58741935483871,6.189736842105264,6692.0,Low,Small,Low,0,1
123,1,plymouth fury gran sedan,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500,7.58741935483871,6.189736842105264,7609.0,Low,Small,Low,0,1
