,Event,Date,Location,Disease,Death toll (estimate),Ref.
24,1582 Tenerife plague epidemic (part of the second plague pandemic),1582–1583,"Tenerife, Spain",Bubonic plague,"5,000–9,000",[55]
25,1592–1596 Seneca nation measles epidemic,1592–1596,"Seneca nation, North America",Measles,Unknown,[56]
26,1592–1593 Malta plague epidemic (part of the second plague pandemic),1592–1593,Malta,Bubonic plague,3000,[57]
27,1592–1593 London plague (part of the second plague pandemic),1592–1593,"London, England",Bubonic plague,"19,900+",[58]
28,1596–1602 Spain plague epidemic (part of the second plague pandemic),1596–1602,Spain,Bubonic plague,"600,000–700,000",[59]
29,1600–1650 South America malaria epidemic,1600–1650,South America,Malaria,Unknown,[citation needed]
30,1603 London plague epidemic (part of the second plague pandemic),1603,"London, England",Bubonic plague,40000,[60][61][62]
31,1616 New England infections epidemic,1616–1620,"Southern New England, British North America, especially the Wampanoag people","Unknown, possibly leptospirosis with Weil syndrome. Classic explanations include yellow fever, bubonic plague, influenza, smallpox, chickenpox, typhus, and syndemic infection of hepatitis B and hepatitis D",Unknown (estimated 30–90% of population),[63][64]
32,1629–1631 Italian plague (part of the second plague pandemic),1629–1631,Italy,Bubonic plague,1 million,[65]
33,1632–1635 Augsburg plague epidemic (part of the second plague pandemic),1632–1635,"Augsburg, Germany",Bubonic plague,13712,[66]
34,Massachusetts smallpox epidemic,1633–1634,"Massachusetts Bay Colony, Thirteen Colonies",Smallpox,1000,[67]
35,1634–1640 Wyandot people epidemic,1634–1640,"Wyandot people, North America",Smallpox and Influenza,"15,000–25,000",[68]
36,1637 London plague epidemic (part of the second plague pandemic),1636–1637,"London and Westminster, England",Bubonic plague,10400,[69]
37,Great Plague in the late Ming dynasty (part of the second plague pandemic),1633–1644,China,Bubonic plague,"200,000+",[70][71]
38,Great Plague of Seville (part of the second plague pandemic),1647–1652,Spain,Bubonic plague,500000,[72]
39,1648 Central America yellow fever epidemic,1648,Central America,Yellow fever,Unknown,[73]
40,Naples Plague (part of the second plague pandemic),1656–1658,Italy,Bubonic plague,1250000,[74]
41,1663–1664 Amsterdam plague epidemic (part of the second plague pandemic),1663–1664,"Amsterdam, Netherlands",Bubonic plague,24148,[75]
42,Great Plague of London (part of the second plague pandemic),1665–1666,England,Bubonic plague,100000,[76][77]
43,1668 France plague (part of the second plague pandemic),1668,France,Bubonic plague,40000,[78]
44,1675–1676 Malta plague epidemic (part of the second plague pandemic),1675–1676,Malta,Bubonic plague,11300,[79]
45,1676–1685 Spain plague (part of the second plague pandemic),1676–1685,Spain,Bubonic plague,Unknown,[80]
46,1677–1678 Boston smallpox epidemic,1677–1678,"Massachusetts Bay Colony, British North America",Smallpox,"750–1,000",[81]
47,Great Plague of Vienna (part of the second plague pandemic),1679,"Vienna, Austria",Bubonic plague,76000,[82]
48,1681 Prague plague epidemic (part of the second plague pandemic),1681,"Prague, Czech Kingdom",Bubonic plague,83000,[83]
49,1687 South Africa influenza outbreak,1687,South Africa,"Unknown, possibly influenza",Unknown,[84]
50,1693 Boston yellow fever epidemic,1693,"Boston, Massachusetts Bay Colony, British North America",Yellow fever,"3,100+",[85]
51,1699 Charleston and Philadelphia yellow fever epidemic,1699,"Charleston and Philadelphia, British North America",Yellow fever,"520 (300 in Charleston, 220 in Philadelphia)",[86]
52,1702 New York City yellow fever epidemic,1702,"New York City, British North America",Yellow fever,500,[87]
53,1702–1703 St. Lawrence Valley smallpox epidemic,1702–1703,"New France, Canada",Smallpox,1300,[88]
54,1707–1709 Iceland smallpox epidemic,1707–1709,Iceland,Smallpox,"18,000+ (36% of population)",[89]
55,Great Northern War plague outbreak (part of the second plague pandemic),1710–1712,"Denmark, Sweden, Lithuania",Bubonic plague,164000,[90][91]
56,1713–1715 North America measles epidemic,1713–1715,"Thirteen Colonies and New France, Canada",Measles,Unknown,[92][93]
57,Great Plague of Marseille (part of the second plague pandemic),1720–1722,France,Bubonic plague,"100,000+",[94]
58,1721 Boston smallpox outbreak,1721–1722,Massachusetts Bay Colony,Smallpox,844,[95]
59,1730 Cádiz yellow fever epidemic,1730,"Cádiz, Spain",Yellow fever,2200,[96]
60,1732–1733 Thirteen Colonies influenza epidemic,1732–1733,Thirteen Colonies,Influenza,Unknown,[97]
61,1733 New France smallpox epidemic,1733,"New France, Canada",Smallpox,Unknown,[98]
62,1735–1741 diphtheria epidemic,1735–1741,"New England, Province of New York, Province of New Jersey, British North America",Diphtheria,20000,[99]
63,Great Plague of 1738 (part of the second plague pandemic),1738,Balkans,Bubonic plague,50000,[100]
64,1738–1739 North Carolina smallpox epidemic,1738–1739,"Province of Carolina, Thirteen Colonies",Smallpox,"7,700–11,700",[101]
65,1741 Cartagena yellow fever epidemic,1741,"Cartagena, Colombia",Yellow fever,20000,[102]
66,1743 Sicily plague epidemic (part of the second plague pandemic),1743,"Messina, Sicily, Italy",Bubonic plague,"40,000–50,000",[103][104]
67,1759 North America measles outbreak,1759,North America,Measles,Unknown,[105]
68,1760 Charleston smallpox epidemic,1760,"Charleston, British North America",Smallpox,730–940,[106][107]
69,1762 Havana yellow fever epidemic,1762,"Havana, Cuba",Yellow fever,8000,[102]
70,1763 Pittsburgh area smallpox outbreak,1763,"North America, present-day Pittsburgh area",Smallpox,Unknown,[108]
71,1770–1772 Russian plague (part of the second plague pandemic),1770–1772,Russia,Bubonic plague,50000,[109]
72,1772 North America measles epidemic,1772,North America,Measles,1080,[110]
73,1772–1773 Persian Plague (part of the second plague pandemic),1772–1773,Persia,Bubonic plague,2 million,[111]
74,1775–1776 England influenza outbreak,1775–1776,England,Influenza,Unknown,[112]
75,1775–1782 North American smallpox epidemic,1775–1782,Native populations in what is now the Pacific Northwest of the United States,Smallpox,"11,000+",[113][114]
76,1778 Spain dengue fever outbreak,1778,Spain,Dengue fever,Unknown,[115]
77,1788 Pueblo Indians smallpox epidemic,1788,Pueblo Indians in northern New Spain (what is now the Southwestern United States),Smallpox,Unknown,[116]
78,1789–1790 New South Wales smallpox epidemic,1789–1790,"New South Wales, Australia",Smallpox,Unknown (50–70% of native population),[117][118]
79,1793 Philadelphia yellow fever epidemic,1793,"Philadelphia, United States",Yellow fever,"5,000+",[119]
80,1800–1803 Spain yellow fever epidemic,1800–1803,Spain,Yellow fever,"60,000+",[120]
81,1801 Ottoman Empire and Egypt bubonic plague epidemic,1801,"Ottoman Empire, Egypt",Bubonic plague,Unknown,[121]
82,1802–1803 Saint-Domingue yellow fever epidemic,1802–1803,Saint-Domingue,Yellow fever,"29,000–55,000",[122]
83,1812 Russia typhus epidemic,1812,Russia,Typhus,300000,[47]
84,1812–1819 Ottoman plague epidemic (part of the second plague pandemic),1812–1819,Ottoman Empire,Bubonic plague,"300,000+",[123]
85,1813–1814 Malta plague epidemic (part of the second plague pandemic),1813–1814,Malta,Bubonic plague,4500,[124]
86,Caragea's plague (part of the second plague pandemic),1813,Romania,Bubonic plague,60000,[125]
87,1817–1819 Ireland typhus epidemic,1817–1819,Ireland,Typhus,65000,[126]
88,First cholera pandemic,1817–1824,"Asia, Europe",Cholera,"100,000+",[127]
89,1820 Savannah yellow fever epidemic,1820,"Savannah, Georgia, United States",Yellow fever,700,[128]
90,1821 Barcelona yellow fever epidemic,1821,"Barcelona, Spain",Yellow fever,"5,000–20,000",[129][130]
91,Second cholera pandemic,1826–1837,"Asia, Europe, North America",Cholera,"100,000+",[131]
92,1828–1829 New South Wales smallpox epidemic,1828–1829,"New South Wales, Australia",Smallpox,19000,[132][133]
93,Groningen epidemic,1829,Netherlands,Malaria,2800,[134]
94,1829–1833 Pacific Northwest malaria epidemic,1829–1833,"Pacific Northwest, United States","Malaria, possibly other diseases too",150000,[135][136]
95,1829–1835 Iran plague outbreak,1829–1835,Iran,Bubonic plague,Unknown,[137]
96,1834–1836 Egypt plague epidemic,1834–1836,Egypt,Bubonic plague,Unknown,[138]
97,1837 Great Plains smallpox epidemic,1837–1838,"Great Plains, United States and Canada",Smallpox,"17,000+",[139]
98,1841 Southern United States yellow fever epidemic,1841,Southern United States (especially Louisiana and Florida),Yellow fever,3498,[140]
99,1847 North American typhus epidemic,1847–1848,Canada,Typhus,"20,000+",[141]
100,1847 Southern United States yellow fever epidemic,1847,Southern United States (especially New Orleans),Yellow fever,3400,[142]
101,1847–1848 influenza epidemic,1847–1848,Worldwide,Influenza,Unknown,[143]
102,1848–1849 Hawaii epidemic of infections,1848–1849,Hawaiian Kingdom,"Measles, whooping cough, dysentery and influenza",10000,[144]
103,1853 New Orleans yellow fever epidemic,1853,"New Orleans, United States",Yellow fever,7970,[129]
104,Third cholera pandemic,1846–1860,Worldwide,Cholera,1 million+,[145]
105,1853 Ottoman Empire plague epidemic,1853,Ottoman Empire,Bubonic plague,Unknown,[146]
106,1853 Copenhagen cholera outbreak,1853,"Copenhagen, Denmark",Cholera,4737,[147]
107,1854 Broad Street cholera outbreak,1854,"London, England",Cholera,616,[148]
108,1855 Norfolk yellow fever epidemic,1855,"Norfolk and Portsmouth, England",Yellow fever,"3,000 (2,000 in Norfolk, 1,000 in Portsmouth)",[149]
109,Third plague pandemic,1855–1960,Worldwide,Bubonic plague,12–15 million (India and China),[150][151]
110,1855–1857 Montevideo yellow fever epidemic,1855–1857,"Montevideo, Uruguay",Yellow fever,"3,400 (first wave; 900, second wave; 2,500)",[152]
111,1857 Lisbon yellow fever epidemic,1857,"Lisbon, Portugal",Yellow fever,6000,[129]
112,1857 Victoria smallpox epidemic,1857,"Victoria, Australia",Smallpox,Unknown,[153]
113,1857–1859 Europe and the Americas influenza epidemic,1857–1859,"Europe, North America, South America",Influenza,Unknown,[154]
114,1862 Pacific Northwest smallpox epidemic,1862–1863,"Pacific Northwest, Canada and United States",Smallpox,"20,000+",[155][156][157]
115,1861–1865 United States typhoid fever epidemic,1861–1865,United States,Typhoid fever,80000,[158]
116,Fourth cholera pandemic,1863–1875,Middle East,Cholera,600000,[159]
117,1867 Sydney measles epidemic,1867,"Sydney, Australia",Measles,748,[160]
118,1871 Buenos Aires yellow fever epidemic,1871,"Buenos Aires, Argentina",Yellow fever,"13,500–26,200",[161]
119,1870–1875 Europe smallpox epidemic,1870–1875,Europe,Smallpox,500000,[162][163]
120,1875 Fiji measles outbreak,1875,Fiji,Measles,40000,[164]
121,1875–1876 Australia scarlet fever epidemic,1875–1876,Australia,Scarlet fever,8000,[160]
122,1876 Ottoman Empire plague epidemic,1876,Ottoman Empire,Bubonic plague,20000,[165]
123,1878 New Orleans yellow fever epidemic,1878,"New Orleans, United States",Yellow fever,4046,[122]
124,1878 Mississippi Valley yellow fever epidemic,1878,"Mississippi Valley, United States",Yellow fever,13000,[122]
125,Fifth cholera pandemic,1881–1896,"Asia, Africa, Europe, South America",Cholera,298600,[166]
126,1885 Montreal smallpox epidemic,1885,"Montreal, Canada",Smallpox,3164,[167]
127,1889–1890 pandemic,1889–1890,Worldwide,Influenza or Human coronavirus OC43 / HCoV-OC43[15][168] (disputed),1 million,[169]
128,1894 Hong Kong plague (part of the third plague pandemic),1894–1929,Hong Kong,Bubonic plague,"20,000+",[170]
129,Bombay plague epidemic (part of the third plague pandemic),1896–1905,"Bombay, India",Bubonic plague,20788,[171]
130,1896–1906 Congo Basin African trypanosomiasis epidemic,1896–1906,Congo Basin,African trypanosomiasis,500000,[172]
131,1899 Porto plague outbreak (part of the third plague pandemic),1899,"Porto, Portugal",Bubonic plague,132,[173]
132,Sixth cholera pandemic,1899–1923,"Europe, Asia, Africa",Cholera,"800,000+",[174]
133,San Francisco plague of 1900–1904 (part of the third plague pandemic),1900–1904,"San Francisco, United States",Bubonic plague,119,[175]
134,1900 Sydney bubonic plague epidemic (part of the third plague pandemic),1900,Australia,Bubonic plague,103,[176]
135,1900–1920 Uganda African trypanosomiasis epidemic,1900–1920,Uganda,African trypanosomiasis,"200,000–300,000",[172]
136,Papua New Guinea kuru epidemic,1901–2009,Papua New Guinea,Kuru,"2,700–3,000+",[177][178]
137,1903 Fremantle plague epidemic (part of the third plague pandemic),1903,"Fremantle, Western Australia",Bubonic plague,4,[179]
138,1906 malaria outbreak in Ceylon,1906–1936,Ceylon,Malaria,80000,[180]
139,Manchurian plague (part of the third plague pandemic),1910–1911,China,Pneumonic plague,60000,[181]
140,1915 encephalitis lethargica pandemic,1915–1926,Worldwide,Encephalitis lethargica,500000,[182][183][184]
141,1916 United States polio epidemic,1916,United States,Poliomyelitis,7130,[185]
142,1918 influenza pandemic ('Spanish flu'),1918–1920,Worldwide,Influenza A virus subtype H1N1 H1N1 virus,17–100 million,[186][187][188]
143,1918–1922 Russia typhus epidemic,1918–1922,Russia,Typhus,2–3 million,[189]
144,1924 Los Angeles pneumonic plague outbreak,1924,"Los Angeles, United States",Pneumonic plague,30,[190]
145,1924–1925 Minnesota smallpox epidemic,1924–1925,"Minnesota, United States",Smallpox,500,[191]
146,1927 Montreal typhoid fever epidemic,1927,"Montreal, Canada",Typhoid fever,538,[192]
147,1929–1930 psittacosis pandemic,1929–1930,Worldwide,Psittacosis,100+,[193]
148,Croydon typhoid outbreak of 1937,1937,"Croydon, United Kingdom",Typhoid fever,43,[194]
149,1937 Australia polio epidemic,1937,Australia,Poliomyelitis,Unknown,[195]
150,1940 Sudan yellow fever epidemic,1940,Sudan,Yellow fever,1627,[196]
151,1942–1944 Egypt malaria epidemic,1942–1944,Egypt,Malaria,Unknown,[138][197]
152,1946 Egypt relapsing fever epidemic,1946,Egypt,Relapsing fever,Unknown,[138][197]
153,1947 Egypt cholera epidemic,1947,Egypt,Cholera,10277,[138][197][198]
154,1948–1952 United States polio epidemic,1948–1952,United States,Poliomyelitis,9000,[185]
155,1957–1958 influenza pandemic ('Asian flu'),1957–1958,Worldwide,Influenza A virus subtype H2N2,1–4 million,[186][199][200]
156,1960–1962 Ethiopia yellow fever epidemic,1960–1962,Ethiopia,Yellow fever,30000,[201]
157,Seventh cholera pandemic,1961–1975,Worldwide,Cholera (El Tor strain),"36,000[citation needed]",[202]
158,Hong Kong flu,1968–1970,Worldwide,Influenza A virus subtype H3N2 H3N2 virus,1–4 million,[186][199][200]
159,1971 Staphorst polio epidemic,1971,"Staphorst, Netherlands",Poliomyelitis,5,[203]
160,1972 Yugoslav smallpox outbreak,1972,Yugoslavia,Smallpox,35,[204]
161,London flu,1972–1973,United States,Influenza A virus subtype H3N2,1027,[205]
162,1973 Italy cholera epidemic,1973,Italy,Cholera (El Tor strain),24,[206]
163,1974 smallpox epidemic in India,1974,India,Smallpox,15000,[207]
164,1977 Russian flu,1977–1979,Worldwide,Influenza A virus subtype H1N1,700000,[208][209]
165,Sverdlovsk anthrax leak,1979,Russia,Anthrax,105,[210]
166,HIV/AIDS pandemic,1981–present,Worldwide,HIV/AIDS Human immunodeficiency virus,42 million (as of 2023,[211]
167,1984 Western Sahara plague,1984,Western Sahara,Bubonic plague,64,[citation needed]
168,1986 Oju yellow fever epidemic,1986,"Oju, Nigeria",Yellow fever,"5,600+",[212]
169,1987 Mali yellow fever epidemic,1987,Mali,Yellow fever,145,[213]
170,1988 Shanghai hepatitis A epidemic,1988,"Shanghai, China",Hepatitis A,31–47,[214][215][216]
171,1991 Bangladesh cholera epidemic,1991,Bangladesh,Cholera,"8,410–9,432",[217]
172,1991 Latin America cholera epidemic,1991–1993,"Peru, Chile, Bolivia, Ecuador, Colombia, Mexico, El Salvador, Guatemala",Cholera,8000,[218][219]
173,1994 plague in India,1994,India,Bubonic plague and Pneumonic plague,56,[220]
174,United Kingdom BSE outbreak,1996–2001,United Kingdom,Variant Creutzfeldt–Jakob disease / vCJD,178,[221][222]
175,1996 West Africa meningitis epidemic,1996,West Africa,Meningitis,10000,[223]
176,1998–1999 Malaysia Nipah virus outbreak,1998–1999,Malaysia,Nipah virus infection,105,[224]
177,1998–2000 Democratic Republic of the Congo Marburg virus outbreak,1998–2000,Democratic Republic of the Congo,Marburg virus,128,[225]
178,2000 Central America dengue epidemic,2000,Central America,Dengue fever,40+,[226]
179,2001 Nigeria cholera epidemic,2001,Nigeria,Cholera,400+,[227]
180,2001 South Africa cholera epidemic,2001,South Africa,Cholera,139,[228][229]
181,2002–2004 SARS outbreak,2002–2004,Worldwide,Severe acute respiratory syndrome / SARS,774,[230]
182,2003–2019 Asia and Egypt avian influenza epidemic,2003–2019,"China, Southeast Asia and Egypt",Influenza A virus subtype H5N1,455,[231]
183,2004 Indonesia dengue epidemic,2004,Indonesia,Dengue fever,658,[232]
184,2004 Sudan Ebola outbreak,2004,Sudan,Ebola,7,[233]
185,2004–2005 Angola Marburg virus outbreak,2004–2005,Angola,Marburg virus,227,[225]
186,2005 dengue outbreak in Singapore,2005,Singapore,Dengue fever,27,[234]
187,2006 Luanda cholera epidemic,2006,"Luanda, Angola",Cholera,"1,200+",[235]
188,2006 Ituri Province plague epidemic,2006,"Ituri Province, Democratic Republic of the Congo",Bubonic plague,61,[236][237]
189,2006 India malaria outbreak,2006,India,Malaria,17,[238]
190,2006 dengue outbreak in India,2006,India,Dengue fever,50+,[239]
191,2006 dengue outbreak in Pakistan,2006,Pakistan,Dengue fever,50+,[240]
192,2006 Philippines dengue epidemic,2006,Philippines,Dengue fever,1000,[241]
193,2006–2007 East Africa Rift Valley fever outbreak,2006–2007,East Africa,Rift Valley fever,394,[242]
194,Mweka Ebola epidemic,2007,Democratic Republic of the Congo,Ebola,187,[243]
195,2007 Ethiopia cholera epidemic,2007,Ethiopia,Cholera,684,[244]
196,2007 Iraq cholera outbreak,2007,Iraq,Cholera,10,[245]
197,"2007 Puerto Rico, Dominican Republic, and Mexico dengue fever epidemic",2007,"Puerto Rico, Dominican Republic, Mexico",Dengue fever,183,[246]
198,2007 Uganda Ebola outbreak,2007,Uganda,Ebola,37,[233]
199,2007 Netherlands Q-fever epidemic,2007–2018,Netherlands,Q-fever,95,[247]
200,2008 Brazil dengue epidemic,2008,Brazil,Dengue fever,67,[248]
201,2008 Cambodia dengue epidemic,2008,Cambodia,Dengue fever,407,[249]
202,2008 Chad cholera epidemic,2008,Chad,Cholera,123,[250]
203,"2008–2017 China hand, foot, and mouth disease epidemic",2008–2017,China,"Hand, foot, and mouth disease","3,322+",[251]
204,2008 India cholera epidemic,2008,India,Cholera,115,[252]
205,2008 Madagascar plague outbreak,2008,Madagascar,Bubonic plague,18+,[253]
206,2008 Philippines dengue epidemic,2008,Philippines,Dengue fever,172,[254]
207,2008 Zimbabwean cholera outbreak,2008–2009,Zimbabwe,Cholera,4293,[255]
208,2009 Bolivian dengue fever epidemic,2009,Bolivia,Dengue fever,18,[256]
209,2009 Gujarat hepatitis outbreak,2009,India,Hepatitis B,49,[257]
210,Queensland 2009 dengue outbreak,2009,"Queensland, Australia",Dengue fever,1+ (503 cases),[258]
211,2009–2010 West African meningitis outbreak,2009–2010,West Africa,Meningitis,1100,[259]
212,2009 swine flu pandemic,2009–2010,Worldwide,Influenza A virus subtype H1N1,"Lab confirmed deaths: 18,449 (reported to the WHO)",[260]
213,2009 swine flu pandemic,2009–2010,Worldwide,Influenza A virus subtype H1N1,"Estimated death toll: 284,000 (possible range 151,700–575,400)",[261]
214,2010s Haiti cholera outbreak,2010–2019,Haiti,"Cholera (strain serogroup O1, serotype Ogawa)",10075,[262]
215,2010–2014 Democratic Republic of the Congo measles outbreak,2010–2014,Democratic Republic of the Congo,Measles,"4,500+",[263][264]
216,"2011 Vietnam hand, foot, and mouth disease epidemic",2011,Vietnam,"Hand, foot, and mouth disease",170,[265][266]
217,2011 dengue outbreak in Pakistan,2011,Pakistan,Dengue fever,350+,[267]
218,"2012 yellow fever outbreak in Darfur, Sudan",2012,"Darfur, Sudan",Yellow fever,171,[268]
219,2012 Middle East respiratory syndrome coronavirus outbreak,2012–2021,Worldwide,Middle East respiratory syndrome / MERS-CoV,941 (as of 8 May 2021,[269][270]
220,2013 dengue outbreak in Singapore,2013,Singapore,Dengue fever,8,
221,2013 Vietnam measles outbreak,2013–2014,Vietnam,Measles,142,[271]
222,Western African Ebola virus epidemic,2013–2016,"Worldwide, primarily concentrated in Guinea, Liberia, Sierra Leone",Ebola Ebola virus virion,"11,323+",[272][273][274]
223,2013–2014 chikungunya outbreak,2013–2015,Americas,Chikungunya,183,[275]
224,2013–19 avian influenza epidemic,2013–2019,China,Influenza A virus subtype H7N9,616,[276]
225,21st century Madagascar plague outbreaks,2014–2017,Madagascar,Bubonic plague,292,[277]
226,Flint water crisis,2014–2015,"Flint, Michigan, United States",Legionnaires' disease,12,[278]
227,2014 Odisha hepatitis outbreak,2014–2015,India,"Primarily Hepatitis E, but also Hepatitis A",36,[279]
228,2015 Indian swine flu outbreak,2015,India,Influenza A virus subtype H1N1,2035,[280][281][282]
229,2015–16 Zika virus epidemic,2015–2016,Worldwide,Zika virus,53,[283]
230,2016 Angola and Democratic Republic of the Congo yellow fever outbreak,2016,Angola and Democratic Republic of the Congo,Yellow fever,"498 (377 in Angola, 121 in Congo)",[284]
231,2016–2022 Yemen cholera outbreak,2016–2022,Yemen,Cholera,"3,981 (as of December 2020",[285]
232,2017 dengue outbreak in Peshawar,2017,"Peshawar, Pakistan",Dengue fever,69,[286]
233,2017 Gorakhpur hospital deaths,2017,India,Japanese encephalitis,1317,[287]
234,2017 dengue outbreak in Sri Lanka,2017,Sri Lanka,Dengue fever,440,[288]
235,2018 Nipah virus outbreak in Kerala,2018,India,Nipah virus infection,17,[289]
236,Kivu Ebola epidemic,2018–2020,Democratic Republic of the Congo and Uganda,Ebola,2280,[290][291][292]
237,2018 NDM-CRE outbreak in Italy,2018–2019,Italy,New Delhi metallo-beta-lactamase-producing Carbapenem-resistant enterobacteriaceae,31 (as of September 2019),[293]
238,2019–2020 measles outbreak in the Democratic Republic of the Congo,2019–2020,Democratic Republic of the Congo,Measles,"7,018+",[294]
239,2019–2020 New Zealand measles outbreak,2019–2020,New Zealand,Measles,2,[295]
240,2019 measles outbreak in the Philippines,2019,Philippines,Measles,415,[296]
241,2019 Kuala Koh measles outbreak,2019,"Kuala Koh, Malaysia",Measles,15,[297]
242,2019 Samoa measles outbreak,2019,Samoa,Measles,83,[298]
243,2019–2020 dengue fever epidemic,2019–2020,"Asia-Pacific, Latin America",Dengue fever,3930,[299]
244,2019 Nigeria Lassa fever epidemic,2019–2021,Nigeria,Lassa fever,247 (as of May 2021),[300]
245,COVID-19 pandemic,2019–present,Worldwide,Coronavirus disease 2019 / COVID-19 SARS-CoV-2 virus,7–29.3 million (as of April 2023,[301][302][303][304]
246,2020 Democratic Republic of the Congo Ebola outbreak,2020,Democratic Republic of the Congo,Ebola,55,[305]
247,2020 dengue outbreak in Singapore,2020,Singapore,Dengue fever,32,[306]
248,2020 Nigeria yellow fever epidemic,2020,Nigeria,Yellow fever,296 (as of 31 December 2020),[307]
249,2021 India black fungus epidemic,2021-2022,India,Black fungus (COVID-19 condition),4332,[308]
250,2022 hepatitis of unknown origin in children,2021–2022,Worldwide,Hepatitis by Adenovirus variant AF41 (Unconfirmed),18,[309][310][311]
251,2022–2023 monkeypox outbreak,2022–present,Worldwide,Monkeypox virus,280,[312][313][314][315]
252,2022 Uganda Ebola outbreak,2022–2023,Uganda,Sudan ebolavirus,77,[316]
